11:54:09.444 > ets Jul 29 2019 12:21:46
11:54:09.447 > 
11:54:09.447 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
11:54:09.451 > configsip: 0, SPIWP:0xee
11:54:09.454 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
11:54:09.460 > mode:DIO, clock div:2
11:54:09.463 > load:0x3fff0030,len:1184
11:54:09.465 > load:0x40078000,len:13232
11:54:09.467 > load:0x40080400,len:3028
11:54:09.469 > entry 0x400805e4
11:54:10.609 > Presence,Fall_State,Distance_dm,Intensity,Breath_Rate,Heart_Rate,Raw_Hex
11:56:43.955 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:44.930 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:45.923 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:46.915 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:47.915 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:48.904 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:49.025 > 1,49,0,0,0,0,53 59 01 01 00 01 0F BE 54 43 
11:56:49.897 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:50.891 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:51.884 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:52.894 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:53.872 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:54.865 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:55.859 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:56.854 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:57.846 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:58.840 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:56:59.833 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
11:57:00.827 > 1,49,0,0,0,0,53 59 80 03 00 01 01 31 54 43 
