11:11:41.496 > ets Jul 29 2019 12:21:46
11:11:41.497 > 
11:11:41.497 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
11:11:41.502 > configsip: 0, SPIWP:0xee
11:11:41.504 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
11:11:41.510 > mode:DIO, clock div:2
11:11:41.512 > load:0x3fff0030,len:1184
11:11:41.514 > load:0x40078000,len:13232
11:11:41.518 > load:0x40080400,len:3028
11:11:41.519 > entry 0x400805e4
11:11:42.658 > Presence,Fall_State,Distance_dm,Raw_Hex
11:14:34.907 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:14:35.901 > 100,148,0,53 59 80 03 00 01 64 94 54 43 
11:14:36.894 > 45,93,0,53 59 80 03 00 01 2D 5D 54 43 
11:14:37.909 > 32,80,0,53 59 80 03 00 01 20 50 54 43 
11:14:38.881 > 27,75,0,53 59 80 03 00 01 1B 4B 54 43 
11:14:39.873 > 8,56,0,53 59 80 03 00 01 08 38 54 43 
11:14:40.867 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:14:41.869 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:14:42.853 > 26,74,0,53 59 80 03 00 01 1A 4A 54 43 
11:14:43.847 > 10,58,0,53 59 80 03 00 01 0A 3A 54 43 
11:14:44.840 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:14:45.834 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:14:46.848 > 16,64,0,53 59 80 03 00 01 10 40 54 43 
11:14:47.820 > 87,135,0,53 59 80 03 00 01 57 87 54 43 
11:14:48.813 > 10,58,0,53 59 80 03 00 01 0A 3A 54 43 
11:14:49.807 > 73,121,0,53 59 80 03 00 01 49 79 54 43 
11:14:50.807 > 4,52,0,53 59 80 03 00 01 04 34 54 43 
11:14:51.794 > 5,53,0,53 59 80 03 00 01 05 35 54 43 
11:14:52.786 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:14:53.780 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:14:54.773 > 2,50,0,53 59 80 03 00 01 02 32 54 43 
11:14:55.070 > 1,48,0,53 59 80 02 00 01 01 30 54 43 
11:14:55.787 > 1,49,0,53 59 80 03 00 01 01 31 54 43 
